epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,811.897,0.75437,0.40179,0.93868,0.96565,0.98214,0.98931,0.77673,0.82805,0.40051,1.03025,0.0008912,0.0008912,0.0008912
86,821.023,0.73686,0.39681,0.92449,0.96958,0.99107,0.99157,0.7814,0.85419,0.40934,1.02491,0.000878,0.000878,0.000878
87,830.121,0.73968,0.39495,0.92351,0.97457,0.99107,0.99221,0.77991,0.84682,0.41274,1.02639,0.0008648,0.0008648,0.0008648
88,839.224,0.73713,0.3957,0.92324,0.97777,0.97768,0.99157,0.77462,0.83992,0.41565,1.02733,0.0008516,0.0008516,0.0008516
89,848.234,0.71717,0.38392,0.91282,0.96889,0.98661,0.99345,0.77877,0.87279,0.41201,1.04043,0.0008384,0.0008384,0.0008384
90,857.443,0.72714,0.39128,0.90922,0.97346,0.98229,0.992,0.77875,0.86093,0.42296,1.05201,0.0008252,0.0008252,0.0008252
91,866.562,0.73069,0.38489,0.91942,0.96389,0.98661,0.99149,0.78822,0.84184,0.41708,1.01492,0.000812,0.000812,0.000812
92,875.578,0.69531,0.38196,0.9166,0.96121,0.99553,0.98977,0.78124,0.85,0.41556,1.02391,0.0007988,0.0007988,0.0007988
93,884.696,0.70194,0.38355,0.90999,0.96913,0.98661,0.99113,0.78363,0.84393,0.40101,1.03589,0.0007856,0.0007856,0.0007856
94,893.844,0.72409,0.39279,0.91292,0.97148,0.97768,0.98967,0.76258,0.87937,0.41197,1.04576,0.0007724,0.0007724,0.0007724
95,902.981,0.70356,0.39109,0.90537,0.9646,0.99107,0.98806,0.78987,0.8335,0.38647,1.02676,0.0007592,0.0007592,0.0007592
96,912.142,0.7295,0.38419,0.9093,0.98235,0.99393,0.99168,0.78944,0.84307,0.3933,1.00834,0.000746,0.000746,0.000746
97,921.307,0.71152,0.3885,0.91739,0.98903,0.98214,0.9905,0.78773,0.84608,0.40197,1.02343,0.0007328,0.0007328,0.0007328
98,930.388,0.70878,0.38372,0.90648,0.9862,0.98661,0.99298,0.79086,0.83657,0.38994,1.00667,0.0007196,0.0007196,0.0007196
99,939.544,0.70715,0.37612,0.90973,0.97646,0.98661,0.99032,0.79211,0.82859,0.38372,1.00604,0.0007064,0.0007064,0.0007064
100,948.658,0.67166,0.36027,0.88999,0.96874,0.98214,0.98472,0.79017,0.8202,0.38438,1.01693,0.0006932,0.0006932,0.0006932
101,958.155,0.67808,0.36816,0.91036,0.96838,0.98661,0.98258,0.78762,0.8293,0.39361,1.03072,0.00068,0.00068,0.00068
102,967.697,0.69056,0.37119,0.90173,0.97361,0.99554,0.9891,0.784,0.85263,0.39721,1.05108,0.0006668,0.0006668,0.0006668
103,977.015,0.68963,0.37009,0.90745,0.97347,0.98286,0.99057,0.78518,0.84282,0.40113,1.01738,0.0006536,0.0006536,0.0006536
104,986.159,0.72841,0.37898,0.91366,0.96315,0.99554,0.9874,0.79237,0.83371,0.38536,1.00864,0.0006404,0.0006404,0.0006404
105,994.951,0.68727,0.37289,0.90193,0.98365,0.98214,0.99114,0.79079,0.8266,0.38438,1.01521,0.0006272,0.0006272,0.0006272
106,1003.7,0.67732,0.36569,0.89598,0.97742,0.98214,0.98975,0.78167,0.85111,0.38044,1.02064,0.000614,0.000614,0.000614
107,1012.31,0.67343,0.35545,0.90021,0.9854,0.98661,0.99316,0.80033,0.81654,0.37274,1.01159,0.0006008,0.0006008,0.0006008
108,1020.99,0.68087,0.36339,0.89551,0.98207,0.98214,0.99197,0.79964,0.80978,0.38453,1.00639,0.0005876,0.0005876,0.0005876
109,1029.66,0.67494,0.36488,0.89718,0.97644,0.98214,0.9904,0.78357,0.83711,0.38187,1.02209,0.0005744,0.0005744,0.0005744
110,1038.24,0.66273,0.35707,0.88484,0.98222,0.98643,0.9915,0.78187,0.85884,0.38684,1.02658,0.0005612,0.0005612,0.0005612
111,1047.01,0.67734,0.362,0.90022,0.98755,0.98214,0.99145,0.78982,0.83837,0.37294,1.02998,0.000548,0.000548,0.000548
112,1055.61,0.65241,0.35555,0.88349,0.98056,0.99107,0.992,0.7896,0.8345,0.3991,1.02481,0.0005348,0.0005348,0.0005348
113,1064.16,0.65469,0.35285,0.88629,0.97779,0.98279,0.9909,0.78362,0.85164,0.37386,1.04366,0.0005216,0.0005216,0.0005216
114,1072.89,0.65961,0.35543,0.89049,0.98226,0.98854,0.98938,0.78046,0.85341,0.38081,1.05104,0.0005084,0.0005084,0.0005084
115,1081.5,0.66509,0.35194,0.88927,0.98212,0.98074,0.98931,0.78937,0.85706,0.38331,1.03176,0.0004952,0.0004952,0.0004952
116,1090.01,0.64291,0.35263,0.88804,0.99054,0.99554,0.99261,0.78311,0.8498,0.37523,1.03413,0.000482,0.000482,0.000482
117,1098.61,0.6617,0.3558,0.89029,0.9763,0.98661,0.98934,0.78375,0.8486,0.38311,1.02382,0.0004688,0.0004688,0.0004688
118,1107.18,0.64169,0.3513,0.8793,0.98142,0.99554,0.98985,0.7969,0.82377,0.38143,1.02508,0.0004556,0.0004556,0.0004556
119,1115.74,0.65055,0.34485,0.88902,0.98086,0.98214,0.98614,0.79319,0.83068,0.37329,1.00918,0.0004424,0.0004424,0.0004424
120,1124.46,0.63893,0.34827,0.89111,0.979,0.97768,0.98632,0.78489,0.85164,0.37728,1.02931,0.0004292,0.0004292,0.0004292
121,1133.01,0.63896,0.33768,0.88529,0.96639,0.96875,0.98038,0.7922,0.82266,0.37384,1.01901,0.000416,0.000416,0.000416
122,1141.61,0.64997,0.34043,0.889,0.98465,0.98661,0.99063,0.78587,0.83729,0.38594,1.01633,0.0004028,0.0004028,0.0004028
